captured_at_utc	experiment	au	analysis_unit_uid	target_ilmn_x	measured_sr_ilmn_x	measured_rsr_ilmn_x	target_ont_x	measured_lr_ont_x	source_s3_root	sr_summary_s3_uri	sr_summary_sha256	rsr_summary_s3_uri	rsr_summary_sha256	lr_summary_s3_uri	lr_summary_sha256
2026-08-18T10:03:39Z	E1	p5xp5	HG002-082hc3dnbehb1c	0.5	43.73	8.54	0.5	0.57	s3://lsmc-dayoa-analysis-results-usw2/derived/bjuice-v2-multi-analysis-unit/prod-cand-1703/prod-cand-1703-hg002-bjuice-v2-multiau-20260814T114522Z/daylily-omics-analysis	s3://lsmc-dayoa-analysis-results-usw2/derived/bjuice-v2-multi-analysis-unit/prod-cand-1703/prod-cand-1703-hg002-bjuice-v2-multiau-20260814T114522Z/daylily-omics-analysis/results/day/hg38/HG002-082hc3dnbehb1c/align/sentdhiomr2sr/smd/alignqc/mosdepth/HG002-082hc3dnbehb1c.sentdhiomr2sr.smd.mosdepth.summary.txt	5db712bdee30b383422f5729ea73497896aca01fd2db749b39a1b829c6484f80	s3://lsmc-dayoa-analysis-results-usw2/derived/bjuice-v2-multi-analysis-unit/prod-cand-1703/prod-cand-1703-hg002-bjuice-v2-multiau-20260814T114522Z/daylily-omics-analysis/results/day/hg38/HG002-082hc3dnbehb1c/align/sentdhiomr2rsr/na/alignqc/mosdepth/HG002-082hc3dnbehb1c.sentdhiomr2rsr.na.mosdepth.summary.txt	dde026379f29dcf2bc35b98e9d6366cb078755789522c95d4b6737f6a5f4bbcf	s3://lsmc-dayoa-analysis-results-usw2/derived/bjuice-v2-multi-analysis-unit/prod-cand-1703/prod-cand-1703-hg002-bjuice-v2-multiau-20260814T114522Z/daylily-omics-analysis/results/day/hg38/HG002-082hc3dnbehb1c/align/sentdhiomr2lr/na/alignqc/mosdepth/HG002-082hc3dnbehb1c.sentdhiomr2lr.na.mosdepth.summary.txt	733730eed7954db992c25340dd7c1d7778c351b688e4e656770410302fee219a
2026-08-18T10:03:39Z	E1	1x1	HG002-98xq4xrqz7dwy9	1	43.73	9.85	1	1.16	s3://lsmc-dayoa-analysis-results-usw2/derived/bjuice-v2-multi-analysis-unit/prod-cand-1703/prod-cand-1703-hg002-bjuice-v2-multiau-20260814T114522Z/daylily-omics-analysis	s3://lsmc-dayoa-analysis-results-usw2/derived/bjuice-v2-multi-analysis-unit/prod-cand-1703/prod-cand-1703-hg002-bjuice-v2-multiau-20260814T114522Z/daylily-omics-analysis/results/day/hg38/HG002-98xq4xrqz7dwy9/align/sentdhiomr2sr/smd/alignqc/mosdepth/HG002-98xq4xrqz7dwy9.sentdhiomr2sr.smd.mosdepth.summary.txt	5db712bdee30b383422f5729ea73497896aca01fd2db749b39a1b829c6484f80	s3://lsmc-dayoa-analysis-results-usw2/derived/bjuice-v2-multi-analysis-unit/prod-cand-1703/prod-cand-1703-hg002-bjuice-v2-multiau-20260814T114522Z/daylily-omics-analysis/results/day/hg38/HG002-98xq4xrqz7dwy9/align/sentdhiomr2rsr/na/alignqc/mosdepth/HG002-98xq4xrqz7dwy9.sentdhiomr2rsr.na.mosdepth.summary.txt	96d077557fdd922cf3f08cf12b33230269acd7ce93a84138b64e3bac37f2cdae	s3://lsmc-dayoa-analysis-results-usw2/derived/bjuice-v2-multi-analysis-unit/prod-cand-1703/prod-cand-1703-hg002-bjuice-v2-multiau-20260814T114522Z/daylily-omics-analysis/results/day/hg38/HG002-98xq4xrqz7dwy9/align/sentdhiomr2lr/na/alignqc/mosdepth/HG002-98xq4xrqz7dwy9.sentdhiomr2lr.na.mosdepth.summary.txt	03e9973598876d131de58b69c148e66c906ee4b76ce42a2d92180e77422749d9
2026-08-18T10:03:39Z	E1	3x3	HG002-871vyxbnp4n81v	3	43.73	11.93	3	4.09	s3://lsmc-dayoa-analysis-results-usw2/derived/bjuice-v2-multi-analysis-unit/prod-cand-1703/prod-cand-1703-hg002-bjuice-v2-multiau-20260814T114522Z/daylily-omics-analysis	s3://lsmc-dayoa-analysis-results-usw2/derived/bjuice-v2-multi-analysis-unit/prod-cand-1703/prod-cand-1703-hg002-bjuice-v2-multiau-20260814T114522Z/daylily-omics-analysis/results/day/hg38/HG002-871vyxbnp4n81v/align/sentdhiomr2sr/smd/alignqc/mosdepth/HG002-871vyxbnp4n81v.sentdhiomr2sr.smd.mosdepth.summary.txt	5db712bdee30b383422f5729ea73497896aca01fd2db749b39a1b829c6484f80	s3://lsmc-dayoa-analysis-results-usw2/derived/bjuice-v2-multi-analysis-unit/prod-cand-1703/prod-cand-1703-hg002-bjuice-v2-multiau-20260814T114522Z/daylily-omics-analysis/results/day/hg38/HG002-871vyxbnp4n81v/align/sentdhiomr2rsr/na/alignqc/mosdepth/HG002-871vyxbnp4n81v.sentdhiomr2rsr.na.mosdepth.summary.txt	581d638e21602d4819d2a5fd65a4915b6a7dbea03eda5e404e67dd4f268a886f	s3://lsmc-dayoa-analysis-results-usw2/derived/bjuice-v2-multi-analysis-unit/prod-cand-1703/prod-cand-1703-hg002-bjuice-v2-multiau-20260814T114522Z/daylily-omics-analysis/results/day/hg38/HG002-871vyxbnp4n81v/align/sentdhiomr2lr/na/alignqc/mosdepth/HG002-871vyxbnp4n81v.sentdhiomr2lr.na.mosdepth.summary.txt	838f65fc070df06d9d484fe3ea031308436cb8edb0f536cdd1edd91656bca8d4
2026-08-18T10:03:39Z	E1	5x5	HG002-vqs89p8gahfwf9	5	43.73	12.71	5	6.20	s3://lsmc-dayoa-analysis-results-usw2/derived/bjuice-v2-multi-analysis-unit/prod-cand-1703/prod-cand-1703-hg002-bjuice-v2-multiau-20260814T114522Z/daylily-omics-analysis	s3://lsmc-dayoa-analysis-results-usw2/derived/bjuice-v2-multi-analysis-unit/prod-cand-1703/prod-cand-1703-hg002-bjuice-v2-multiau-20260814T114522Z/daylily-omics-analysis/results/day/hg38/HG002-vqs89p8gahfwf9/align/sentdhiomr2sr/smd/alignqc/mosdepth/HG002-vqs89p8gahfwf9.sentdhiomr2sr.smd.mosdepth.summary.txt	5db712bdee30b383422f5729ea73497896aca01fd2db749b39a1b829c6484f80	s3://lsmc-dayoa-analysis-results-usw2/derived/bjuice-v2-multi-analysis-unit/prod-cand-1703/prod-cand-1703-hg002-bjuice-v2-multiau-20260814T114522Z/daylily-omics-analysis/results/day/hg38/HG002-vqs89p8gahfwf9/align/sentdhiomr2rsr/na/alignqc/mosdepth/HG002-vqs89p8gahfwf9.sentdhiomr2rsr.na.mosdepth.summary.txt	eca6db5f414dd041a43c6443922515fc63ef030155a60bc58c56c52bee2af8c8	s3://lsmc-dayoa-analysis-results-usw2/derived/bjuice-v2-multi-analysis-unit/prod-cand-1703/prod-cand-1703-hg002-bjuice-v2-multiau-20260814T114522Z/daylily-omics-analysis/results/day/hg38/HG002-vqs89p8gahfwf9/align/sentdhiomr2lr/na/alignqc/mosdepth/HG002-vqs89p8gahfwf9.sentdhiomr2lr.na.mosdepth.summary.txt	edf48a8d767acfbbf1515461b9fbbb5faf4bd10ce4931562eed4fb6f3aa3ff4a
2026-08-18T10:03:39Z	E1	10x5	HG002-fjg1n22920ymw4	10	43.73	13.65	5	9.67	s3://lsmc-dayoa-analysis-results-usw2/derived/bjuice-v2-multi-analysis-unit/prod-cand-1703/prod-cand-1703-hg002-bjuice-v2-multiau-20260814T114522Z/daylily-omics-analysis	s3://lsmc-dayoa-analysis-results-usw2/derived/bjuice-v2-multi-analysis-unit/prod-cand-1703/prod-cand-1703-hg002-bjuice-v2-multiau-20260814T114522Z/daylily-omics-analysis/results/day/hg38/HG002-fjg1n22920ymw4/align/sentdhiomr2sr/smd/alignqc/mosdepth/HG002-fjg1n22920ymw4.sentdhiomr2sr.smd.mosdepth.summary.txt	5db712bdee30b383422f5729ea73497896aca01fd2db749b39a1b829c6484f80	s3://lsmc-dayoa-analysis-results-usw2/derived/bjuice-v2-multi-analysis-unit/prod-cand-1703/prod-cand-1703-hg002-bjuice-v2-multiau-20260814T114522Z/daylily-omics-analysis/results/day/hg38/HG002-fjg1n22920ymw4/align/sentdhiomr2rsr/na/alignqc/mosdepth/HG002-fjg1n22920ymw4.sentdhiomr2rsr.na.mosdepth.summary.txt	4092890ff450c5db3511b3dc9a6fe1a85bbbdda344d0760613827ca0d3070796	s3://lsmc-dayoa-analysis-results-usw2/derived/bjuice-v2-multi-analysis-unit/prod-cand-1703/prod-cand-1703-hg002-bjuice-v2-multiau-20260814T114522Z/daylily-omics-analysis/results/day/hg38/HG002-fjg1n22920ymw4/align/sentdhiomr2lr/na/alignqc/mosdepth/HG002-fjg1n22920ymw4.sentdhiomr2lr.na.mosdepth.summary.txt	f41c23c240d4bb62934c64147450160fe39a80364e08a2f461a50da0ff05ba27
2026-08-18T10:03:39Z	E1	15x5	HG002-bq765db79mczvn	15	43.73	14.01	5	11.43	s3://lsmc-dayoa-analysis-results-usw2/derived/bjuice-v2-multi-analysis-unit/prod-cand-1703/prod-cand-1703-hg002-bjuice-v2-multiau-20260814T114522Z/daylily-omics-analysis	s3://lsmc-dayoa-analysis-results-usw2/derived/bjuice-v2-multi-analysis-unit/prod-cand-1703/prod-cand-1703-hg002-bjuice-v2-multiau-20260814T114522Z/daylily-omics-analysis/results/day/hg38/HG002-bq765db79mczvn/align/sentdhiomr2sr/smd/alignqc/mosdepth/HG002-bq765db79mczvn.sentdhiomr2sr.smd.mosdepth.summary.txt	5db712bdee30b383422f5729ea73497896aca01fd2db749b39a1b829c6484f80	s3://lsmc-dayoa-analysis-results-usw2/derived/bjuice-v2-multi-analysis-unit/prod-cand-1703/prod-cand-1703-hg002-bjuice-v2-multiau-20260814T114522Z/daylily-omics-analysis/results/day/hg38/HG002-bq765db79mczvn/align/sentdhiomr2rsr/na/alignqc/mosdepth/HG002-bq765db79mczvn.sentdhiomr2rsr.na.mosdepth.summary.txt	26c48c1c52f9528e63bb0e6b479a7faa3a8d1551eb8e029022275bc545f86372	s3://lsmc-dayoa-analysis-results-usw2/derived/bjuice-v2-multi-analysis-unit/prod-cand-1703/prod-cand-1703-hg002-bjuice-v2-multiau-20260814T114522Z/daylily-omics-analysis/results/day/hg38/HG002-bq765db79mczvn/align/sentdhiomr2lr/na/alignqc/mosdepth/HG002-bq765db79mczvn.sentdhiomr2lr.na.mosdepth.summary.txt	a037395ef9a349bf0fbf196cb109aa1efcc44abb75ff0a7defcc949cf63d0faa
2026-08-18T10:03:39Z	E1	15x10	HG002-f277f1cckvy1xb	15	43.73	13.65	10	9.67	s3://lsmc-dayoa-analysis-results-usw2/derived/bjuice-v2-multi-analysis-unit/prod-cand-1703/prod-cand-1703-hg002-bjuice-v2-multiau-20260814T114522Z/daylily-omics-analysis	s3://lsmc-dayoa-analysis-results-usw2/derived/bjuice-v2-multi-analysis-unit/prod-cand-1703/prod-cand-1703-hg002-bjuice-v2-multiau-20260814T114522Z/daylily-omics-analysis/results/day/hg38/HG002-f277f1cckvy1xb/align/sentdhiomr2sr/smd/alignqc/mosdepth/HG002-f277f1cckvy1xb.sentdhiomr2sr.smd.mosdepth.summary.txt	5db712bdee30b383422f5729ea73497896aca01fd2db749b39a1b829c6484f80	s3://lsmc-dayoa-analysis-results-usw2/derived/bjuice-v2-multi-analysis-unit/prod-cand-1703/prod-cand-1703-hg002-bjuice-v2-multiau-20260814T114522Z/daylily-omics-analysis/results/day/hg38/HG002-f277f1cckvy1xb/align/sentdhiomr2rsr/na/alignqc/mosdepth/HG002-f277f1cckvy1xb.sentdhiomr2rsr.na.mosdepth.summary.txt	4092890ff450c5db3511b3dc9a6fe1a85bbbdda344d0760613827ca0d3070796	s3://lsmc-dayoa-analysis-results-usw2/derived/bjuice-v2-multi-analysis-unit/prod-cand-1703/prod-cand-1703-hg002-bjuice-v2-multiau-20260814T114522Z/daylily-omics-analysis/results/day/hg38/HG002-f277f1cckvy1xb/align/sentdhiomr2lr/na/alignqc/mosdepth/HG002-f277f1cckvy1xb.sentdhiomr2lr.na.mosdepth.summary.txt	f41c23c240d4bb62934c64147450160fe39a80364e08a2f461a50da0ff05ba27
2026-08-18T10:03:39Z	E3	10xby10x	HG002-nxw0jbvh1h5mqx	9.85	10.81	3.72	9.67	9.67	s3://lsmc-dayoa-analysis-results-usw2/derived/bjuice-v2-multi-analysis-unit/prod-cand-1703/prod-cand-1703-hg002-bjuice-4au-kitchensink-20260817T025004Z/daylily-omics-analysis	s3://lsmc-dayoa-analysis-results-usw2/derived/bjuice-v2-multi-analysis-unit/prod-cand-1703/prod-cand-1703-hg002-bjuice-4au-kitchensink-20260817T025004Z/daylily-omics-analysis/results/day/hg38/HG002-nxw0jbvh1h5mqx/align/sentdhiomr2sr/smd/alignqc/mosdepth/HG002-nxw0jbvh1h5mqx.sentdhiomr2sr.smd.mosdepth.summary.txt	9596f930efbe506a0e5f868cb69a4c261834e6d2de23cdf35d1d9a631556b1a8	s3://lsmc-dayoa-analysis-results-usw2/derived/bjuice-v2-multi-analysis-unit/prod-cand-1703/prod-cand-1703-hg002-bjuice-4au-kitchensink-20260817T025004Z/daylily-omics-analysis/results/day/hg38/HG002-nxw0jbvh1h5mqx/align/sentdhiomr2rsr/na/alignqc/mosdepth/HG002-nxw0jbvh1h5mqx.sentdhiomr2rsr.na.mosdepth.summary.txt	7efb0f2f82a2913cfadb286084d255c89f9b163ae85fd33c7ec8286b0bbd7367	s3://lsmc-dayoa-analysis-results-usw2/derived/bjuice-v2-multi-analysis-unit/prod-cand-1703/prod-cand-1703-hg002-bjuice-4au-kitchensink-20260817T025004Z/daylily-omics-analysis/results/day/hg38/HG002-nxw0jbvh1h5mqx/align/sentdhiomr2lr/na/alignqc/mosdepth/HG002-nxw0jbvh1h5mqx.sentdhiomr2lr.na.mosdepth.summary.txt	f41c23c240d4bb62934c64147450160fe39a80364e08a2f461a50da0ff05ba27
2026-08-18T10:03:39Z	E3	12xby12x	HG002-nfjdv62wjc8dwr	12.71	13.83	4.77	11.43	11.43	s3://lsmc-dayoa-analysis-results-usw2/derived/bjuice-v2-multi-analysis-unit/prod-cand-1703/prod-cand-1703-hg002-bjuice-4au-kitchensink-20260817T025004Z/daylily-omics-analysis	s3://lsmc-dayoa-analysis-results-usw2/derived/bjuice-v2-multi-analysis-unit/prod-cand-1703/prod-cand-1703-hg002-bjuice-4au-kitchensink-20260817T025004Z/daylily-omics-analysis/results/day/hg38/HG002-nfjdv62wjc8dwr/align/sentdhiomr2sr/smd/alignqc/mosdepth/HG002-nfjdv62wjc8dwr.sentdhiomr2sr.smd.mosdepth.summary.txt	4ac4c03d2be223cfbc28a44b193ca9f840ec23dcbe422c53399a21acd095a867	s3://lsmc-dayoa-analysis-results-usw2/derived/bjuice-v2-multi-analysis-unit/prod-cand-1703/prod-cand-1703-hg002-bjuice-4au-kitchensink-20260817T025004Z/daylily-omics-analysis/results/day/hg38/HG002-nfjdv62wjc8dwr/align/sentdhiomr2rsr/na/alignqc/mosdepth/HG002-nfjdv62wjc8dwr.sentdhiomr2rsr.na.mosdepth.summary.txt	92a01053a9652ec96413ae5ac85a83fe66e3bdac835e2670b9b5c2684f8a9112	s3://lsmc-dayoa-analysis-results-usw2/derived/bjuice-v2-multi-analysis-unit/prod-cand-1703/prod-cand-1703-hg002-bjuice-4au-kitchensink-20260817T025004Z/daylily-omics-analysis/results/day/hg38/HG002-nfjdv62wjc8dwr/align/sentdhiomr2lr/na/alignqc/mosdepth/HG002-nfjdv62wjc8dwr.sentdhiomr2lr.na.mosdepth.summary.txt	a037395ef9a349bf0fbf196cb109aa1efcc44abb75ff0a7defcc949cf63d0faa
2026-08-18T10:03:39Z	E3	20xby15x	HG002-wesenyqd5xz29g	20	21.33	7.36	15	14.71	s3://lsmc-dayoa-analysis-results-usw2/derived/bjuice-v2-multi-analysis-unit/prod-cand-1703/prod-cand-1703-hg002-bjuice-4au-kitchensink-20260817T025004Z/daylily-omics-analysis	s3://lsmc-dayoa-analysis-results-usw2/derived/bjuice-v2-multi-analysis-unit/prod-cand-1703/prod-cand-1703-hg002-bjuice-4au-kitchensink-20260817T025004Z/daylily-omics-analysis/results/day/hg38/HG002-wesenyqd5xz29g/align/sentdhiomr2sr/smd/alignqc/mosdepth/HG002-wesenyqd5xz29g.sentdhiomr2sr.smd.mosdepth.summary.txt	4994bb3728626fc84e1965a8d3af6b855ce48d16fb12a1f263664f8092b86c75	s3://lsmc-dayoa-analysis-results-usw2/derived/bjuice-v2-multi-analysis-unit/prod-cand-1703/prod-cand-1703-hg002-bjuice-4au-kitchensink-20260817T025004Z/daylily-omics-analysis/results/day/hg38/HG002-wesenyqd5xz29g/align/sentdhiomr2rsr/na/alignqc/mosdepth/HG002-wesenyqd5xz29g.sentdhiomr2rsr.na.mosdepth.summary.txt	c5278091b6ed63021cb0dded00e0df3f5d9fa6977b2146e0aa560cc8ad144c7e	s3://lsmc-dayoa-analysis-results-usw2/derived/bjuice-v2-multi-analysis-unit/prod-cand-1703/prod-cand-1703-hg002-bjuice-4au-kitchensink-20260817T025004Z/daylily-omics-analysis/results/day/hg38/HG002-wesenyqd5xz29g/align/sentdhiomr2lr/na/alignqc/mosdepth/HG002-wesenyqd5xz29g.sentdhiomr2lr.na.mosdepth.summary.txt	4e9836334aa183cd3613cfcde302aa269e81aa78af256a49db44a0e015294d58
2026-08-18T10:03:39Z	E3	30xby15x	HG002-q73e7s390m0hjt	30	31.12	10.50	15	14.71	s3://lsmc-dayoa-analysis-results-usw2/derived/bjuice-v2-multi-analysis-unit/prod-cand-1703/prod-cand-1703-hg002-bjuice-4au-kitchensink-20260817T025004Z/daylily-omics-analysis	s3://lsmc-dayoa-analysis-results-usw2/derived/bjuice-v2-multi-analysis-unit/prod-cand-1703/prod-cand-1703-hg002-bjuice-4au-kitchensink-20260817T025004Z/daylily-omics-analysis/results/day/hg38/HG002-q73e7s390m0hjt/align/sentdhiomr2sr/smd/alignqc/mosdepth/HG002-q73e7s390m0hjt.sentdhiomr2sr.smd.mosdepth.summary.txt	eea597f76488c5098563d6ccd9ab5bcd78bcefada6e5c6525506c73e23e7ce4f	s3://lsmc-dayoa-analysis-results-usw2/derived/bjuice-v2-multi-analysis-unit/prod-cand-1703/prod-cand-1703-hg002-bjuice-4au-kitchensink-20260817T025004Z/daylily-omics-analysis/results/day/hg38/HG002-q73e7s390m0hjt/align/sentdhiomr2rsr/na/alignqc/mosdepth/HG002-q73e7s390m0hjt.sentdhiomr2rsr.na.mosdepth.summary.txt	646aaf2068e635a13afc26ae4eb2559885a6d00e0d3eb9601fcc210a9846de32	s3://lsmc-dayoa-analysis-results-usw2/derived/bjuice-v2-multi-analysis-unit/prod-cand-1703/prod-cand-1703-hg002-bjuice-4au-kitchensink-20260817T025004Z/daylily-omics-analysis/results/day/hg38/HG002-q73e7s390m0hjt/align/sentdhiomr2lr/na/alignqc/mosdepth/HG002-q73e7s390m0hjt.sentdhiomr2lr.na.mosdepth.summary.txt	4e9836334aa183cd3613cfcde302aa269e81aa78af256a49db44a0e015294d58
2026-08-18T10:03:39Z	P1	fullcov	HG002-qvmjccyp5fr1y3	NA	43.73	14.01	NA	11.43	s3://lsmc-ssf-sequencing-data/derived/pcand-18022/pcand18022-bjuice-preval6-15014-dry-20260817t112900z/daylily-omics-analysis	s3://lsmc-ssf-sequencing-data/derived/pcand-18022/pcand18022-bjuice-preval6-15014-dry-20260817t112900z/daylily-omics-analysis/results/day/hg38/HG002-qvmjccyp5fr1y3/align/sentdhiomr2sr/smd/alignqc/mosdepth/HG002-qvmjccyp5fr1y3.sentdhiomr2sr.smd.mosdepth.summary.txt	5db712bdee30b383422f5729ea73497896aca01fd2db749b39a1b829c6484f80	s3://lsmc-ssf-sequencing-data/derived/pcand-18022/pcand18022-bjuice-preval6-15014-dry-20260817t112900z/daylily-omics-analysis/results/day/hg38/HG002-qvmjccyp5fr1y3/align/sentdhiomr2rsr/na/alignqc/mosdepth/HG002-qvmjccyp5fr1y3.sentdhiomr2rsr.na.mosdepth.summary.txt	26c48c1c52f9528e63bb0e6b479a7faa3a8d1551eb8e029022275bc545f86372	s3://lsmc-ssf-sequencing-data/derived/pcand-18022/pcand18022-bjuice-preval6-15014-dry-20260817t112900z/daylily-omics-analysis/results/day/hg38/HG002-qvmjccyp5fr1y3/align/sentdhiomr2lr/na/alignqc/mosdepth/HG002-qvmjccyp5fr1y3.sentdhiomr2lr.na.mosdepth.summary.txt	a037395ef9a349bf0fbf196cb109aa1efcc44abb75ff0a7defcc949cf63d0faa
