RUN_ID	SAMPLE_ID	EXPERIMENTID	SAMPLESOURCE	SAMPLECLASS	BIOLOGICAL_SEX	SAMPLE_TYPE	LIB_PREP	SEQ_VENDOR	SEQ_PLATFORM	LANE	SEQBC_ID	PATH_TO_CONCORDANCE_DATA_DIR	CONCORDANCE_CONTROL_PATH	TRUTH_DATA_DIR	ILMN_R1_FQ	ILMN_R2_FQ	PACBIO_R1_FQ	PACBIO_R2_FQ	ONT_R1_FQ	ONT_R2_FQ	UG_R1_FQ	UG_R2_FQ	ULTIMA_CRAM	ULTIMA_CRAM_ALIGNER	ULTIMA_CRAM_SNV_CALLER	ULTIMA_SUBSAMPLE_PCT	ONT_CRAM	ONT_CRAM_ALIGNER	ONT_CRAM_SNV_CALLER	ONT_SUBSAMPLE_PCT	PB_BAM	PB_BAM_ALIGNER	PB_BAM_SNV_CALLER	ONT_BAM	ONT_BAM_ALIGNER	ONT_BAM_SNV_CALLER	ROCHE_BAM	ROCHE_BAM_ALIGNER	ROCHE_BAM_SNV_CALLER	ROCHE_DOWNSAMPLE_RATIO	STAGE_DIRECTIVE	STAGE_TARGET	SUBSAMPLE_PCT	ILMN_TRIM_READ_LENGTH	LONGREADTRIM_READ_LENGTH	LONGREADTRIM_MODE	SAMPLEUSE	BWA_KMER	DEEP_MODEL	IS_POS_CTRL	IS_NEG_CTRL	TUM_NRM_SAMPLEID_MATCH	N_X	N_Y	EXTERNAL_SAMPLE_ID
RH1	HG003	1x	blood	research	male	gdna	PF	ROCHE	SBX-DUPLEX	0	D0	s3://lsmc-dayoa-omics-analysis-us-west-2/data/genomic_data/organism_annotations/H_sapiens/hg38/controls/giab/snv/v4.2.1/HG003/	s3://lsmc-dayoa-omics-analysis-us-west-2/data/genomic_data/organism_annotations/H_sapiens/hg38/controls/giab/snv/v4.2.1/HG003/	s3://lsmc-dayoa-omics-analysis-us-west-2/data/genomic_data/organism_annotations/H_sapiens/hg38/controls/giab/snv/v4.2.1/HG003/																							s3://lsmc-dayoa-omics-analysis-us-west-2/data/genomic_data/organism_reads/H_sapiens/giab/roche/091025_webinar_data_giab_bam_bwa/HG003.bam	roche	rochehc	0.0172	stage_data	/data/staged_sample_data					posControl	19	WGS	true	false	na	1	1	HG003
RH1	HG003	2p5xa	blood	research	male	gdna	PF	ROCHE	SBX-DUPLEX	0	D0	s3://lsmc-dayoa-omics-analysis-us-west-2/data/genomic_data/organism_annotations/H_sapiens/hg38/controls/giab/snv/v4.2.1/HG003/	s3://lsmc-dayoa-omics-analysis-us-west-2/data/genomic_data/organism_annotations/H_sapiens/hg38/controls/giab/snv/v4.2.1/HG003/	s3://lsmc-dayoa-omics-analysis-us-west-2/data/genomic_data/organism_annotations/H_sapiens/hg38/controls/giab/snv/v4.2.1/HG003/																							s3://lsmc-dayoa-omics-analysis-us-west-2/data/genomic_data/organism_reads/H_sapiens/giab/roche/091025_webinar_data_giab_bam_bwa/HG003.bam	roche	rochehc	0.0384	stage_data	/data/staged_sample_data					posControl	19	WGS	true	false	na	1	1	HG003
RH1	HG003	3x	blood	research	male	gdna	PF	ROCHE	SBX-DUPLEX	0	D0	s3://lsmc-dayoa-omics-analysis-us-west-2/data/genomic_data/organism_annotations/H_sapiens/hg38/controls/giab/snv/v4.2.1/HG003/	s3://lsmc-dayoa-omics-analysis-us-west-2/data/genomic_data/organism_annotations/H_sapiens/hg38/controls/giab/snv/v4.2.1/HG003/	s3://lsmc-dayoa-omics-analysis-us-west-2/data/genomic_data/organism_annotations/H_sapiens/hg38/controls/giab/snv/v4.2.1/HG003/																							s3://lsmc-dayoa-omics-analysis-us-west-2/data/genomic_data/organism_reads/H_sapiens/giab/roche/091025_webinar_data_giab_bam_bwa/HG003.bam	roche	rochehc	0.0516	stage_data	/data/staged_sample_data					posControl	19	WGS	true	false	na	1	1	HG003
RH1	HG003	5x	blood	research	male	gdna	PF	ROCHE	SBX-DUPLEX	0	D0	s3://lsmc-dayoa-omics-analysis-us-west-2/data/genomic_data/organism_annotations/H_sapiens/hg38/controls/giab/snv/v4.2.1/HG003/	s3://lsmc-dayoa-omics-analysis-us-west-2/data/genomic_data/organism_annotations/H_sapiens/hg38/controls/giab/snv/v4.2.1/HG003/	s3://lsmc-dayoa-omics-analysis-us-west-2/data/genomic_data/organism_annotations/H_sapiens/hg38/controls/giab/snv/v4.2.1/HG003/																							s3://lsmc-dayoa-omics-analysis-us-west-2/data/genomic_data/organism_reads/H_sapiens/giab/roche/091025_webinar_data_giab_bam_bwa/HG003.bam	roche	rochehc	0.086	stage_data	/data/staged_sample_data					posControl	19	WGS	true	false	na	1	1	HG003
RH1	HG003	7x	blood	research	male	gdna	PF	ROCHE	SBX-DUPLEX	0	D0	s3://lsmc-dayoa-omics-analysis-us-west-2/data/genomic_data/organism_annotations/H_sapiens/hg38/controls/giab/snv/v4.2.1/HG003/	s3://lsmc-dayoa-omics-analysis-us-west-2/data/genomic_data/organism_annotations/H_sapiens/hg38/controls/giab/snv/v4.2.1/HG003/	s3://lsmc-dayoa-omics-analysis-us-west-2/data/genomic_data/organism_annotations/H_sapiens/hg38/controls/giab/snv/v4.2.1/HG003/																							s3://lsmc-dayoa-omics-analysis-us-west-2/data/genomic_data/organism_reads/H_sapiens/giab/roche/091025_webinar_data_giab_bam_bwa/HG003.bam	roche	rochehc	0.1204	stage_data	/data/staged_sample_data					posControl	19	WGS	true	false	na	1	1	HG003
RH1	HG003	10x	blood	research	male	gdna	PF	ROCHE	SBX-DUPLEX	0	D0	s3://lsmc-dayoa-omics-analysis-us-west-2/data/genomic_data/organism_annotations/H_sapiens/hg38/controls/giab/snv/v4.2.1/HG003/	s3://lsmc-dayoa-omics-analysis-us-west-2/data/genomic_data/organism_annotations/H_sapiens/hg38/controls/giab/snv/v4.2.1/HG003/	s3://lsmc-dayoa-omics-analysis-us-west-2/data/genomic_data/organism_annotations/H_sapiens/hg38/controls/giab/snv/v4.2.1/HG003/																							s3://lsmc-dayoa-omics-analysis-us-west-2/data/genomic_data/organism_reads/H_sapiens/giab/roche/091025_webinar_data_giab_bam_bwa/HG003.bam	roche	rochehc	0.172	stage_data	/data/staged_sample_data					posControl	19	WGS	true	false	na	1	1	HG003
RH1	HG003	15x	blood	research	male	gdna	PF	ROCHE	SBX-DUPLEX	0	D0	s3://lsmc-dayoa-omics-analysis-us-west-2/data/genomic_data/organism_annotations/H_sapiens/hg38/controls/giab/snv/v4.2.1/HG003/	s3://lsmc-dayoa-omics-analysis-us-west-2/data/genomic_data/organism_annotations/H_sapiens/hg38/controls/giab/snv/v4.2.1/HG003/	s3://lsmc-dayoa-omics-analysis-us-west-2/data/genomic_data/organism_annotations/H_sapiens/hg38/controls/giab/snv/v4.2.1/HG003/																							s3://lsmc-dayoa-omics-analysis-us-west-2/data/genomic_data/organism_reads/H_sapiens/giab/roche/091025_webinar_data_giab_bam_bwa/HG003.bam	roche	rochehc	0.258	stage_data	/data/staged_sample_data					posControl	19	WGS	true	false	na	1	1	HG003
RH1	HG003	20x	blood	research	male	gdna	PF	ROCHE	SBX-DUPLEX	0	D0	s3://lsmc-dayoa-omics-analysis-us-west-2/data/genomic_data/organism_annotations/H_sapiens/hg38/controls/giab/snv/v4.2.1/HG003/	s3://lsmc-dayoa-omics-analysis-us-west-2/data/genomic_data/organism_annotations/H_sapiens/hg38/controls/giab/snv/v4.2.1/HG003/	s3://lsmc-dayoa-omics-analysis-us-west-2/data/genomic_data/organism_annotations/H_sapiens/hg38/controls/giab/snv/v4.2.1/HG003/																							s3://lsmc-dayoa-omics-analysis-us-west-2/data/genomic_data/organism_reads/H_sapiens/giab/roche/091025_webinar_data_giab_bam_bwa/HG003.bam	roche	rochehc	0.3439	stage_data	/data/staged_sample_data					posControl	19	WGS	true	false	na	1	1	HG003
RH1	HG003	35xa	blood	research	male	gdna	PF	ROCHE	SBX-DUPLEX	0	D0	s3://lsmc-dayoa-omics-analysis-us-west-2/data/genomic_data/organism_annotations/H_sapiens/hg38/controls/giab/snv/v4.2.1/HG003/	s3://lsmc-dayoa-omics-analysis-us-west-2/data/genomic_data/organism_annotations/H_sapiens/hg38/controls/giab/snv/v4.2.1/HG003/	s3://lsmc-dayoa-omics-analysis-us-west-2/data/genomic_data/organism_annotations/H_sapiens/hg38/controls/giab/snv/v4.2.1/HG003/																							s3://lsmc-dayoa-omics-analysis-us-west-2/data/genomic_data/organism_reads/H_sapiens/giab/roche/091025_webinar_data_giab_bam_bwa/HG003.bam	roche	rochehc	0.4644	stage_data	/data/staged_sample_data					posControl	19	WGS	true	false	na	1	1	HG003
RH1	HG003	30x	blood	research	male	gdna	PF	ROCHE	SBX-DUPLEX	0	D0	s3://lsmc-dayoa-omics-analysis-us-west-2/data/genomic_data/organism_annotations/H_sapiens/hg38/controls/giab/snv/v4.2.1/HG003/	s3://lsmc-dayoa-omics-analysis-us-west-2/data/genomic_data/organism_annotations/H_sapiens/hg38/controls/giab/snv/v4.2.1/HG003/	s3://lsmc-dayoa-omics-analysis-us-west-2/data/genomic_data/organism_annotations/H_sapiens/hg38/controls/giab/snv/v4.2.1/HG003/																							s3://lsmc-dayoa-omics-analysis-us-west-2/data/genomic_data/organism_reads/H_sapiens/giab/roche/091025_webinar_data_giab_bam_bwa/HG003.bam	roche	rochehc	0.5159	stage_data	/data/staged_sample_data					posControl	19	WGS	true	false	na	1	1	HG003
RH1	HG003	40x	blood	research	male	gdna	PF	ROCHE	SBX-DUPLEX	0	D0	s3://lsmc-dayoa-omics-analysis-us-west-2/data/genomic_data/organism_annotations/H_sapiens/hg38/controls/giab/snv/v4.2.1/HG003/	s3://lsmc-dayoa-omics-analysis-us-west-2/data/genomic_data/organism_annotations/H_sapiens/hg38/controls/giab/snv/v4.2.1/HG003/	s3://lsmc-dayoa-omics-analysis-us-west-2/data/genomic_data/organism_annotations/H_sapiens/hg38/controls/giab/snv/v4.2.1/HG003/																							s3://lsmc-dayoa-omics-analysis-us-west-2/data/genomic_data/organism_reads/H_sapiens/giab/roche/091025_webinar_data_giab_bam_bwa/HG003.bam	roche	rochehc	0.6879	stage_data	/data/staged_sample_data					posControl	19	WGS	true	false	na	1	1	HG003
